2024-11-24 10:37:56.770 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.22; built: 2024-06-27T16:03:51.502Z; git: 5c8471e852d377fd726ad9b1692c35ffc5febb09; jvm 21.0.5+11-Ubuntu-1ubuntu124.04
2024-11-24 10:37:57.086 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2024-11-24 10:37:57.117 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2024-11-24 10:37:57.124 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.7.0
2024-11-24 10:37:57.125 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2024-11-24 10:37:57.125 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /home/sergio/USI/Information Retrieval/IR_project/backend/solr-9.7.0
2024-11-24 10:37:57.125 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2024-11-24T10:37:57.125328260Z
2024-11-24 10:37:57.128 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /home/sergio/USI/Information Retrieval/IR_project/backend/solr-9.7.0/server/logs/jvm_crash_25071.log
2024-11-24 10:37:57.226 INFO  (main) [c: s: r: x: t:] o.a.l.s.MemorySegmentIndexInputProvider Using MemorySegmentIndexInput and native madvise support with Java 21 or later; to disable start with -Dorg.apache.lucene.store.MMapDirectory.enableMemorySegments=false
2024-11-24 10:37:57.256 INFO  (main) [c: s: r: x: t:] o.a.l.i.v.PanamaVectorizationProvider Java vector incubator API enabled; uses preferredBitSize=256; FMA enabled
2024-11-24 10:37:57.259 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /home/sergio/USI/Information Retrieval/IR_project/backend/solr-9.7.0/server/solr (source: system property: solr.solr.home)
2024-11-24 10:37:57.272 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from /home/sergio/USI/Information Retrieval/IR_project/backend/solr-9.7.0/server/solr/solr.xml
2024-11-24 10:37:57.307 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/home/sergio/USI/Information%20Retrieval/IR_project/backend/solr-9.7.0/lib]
2024-11-24 10:37:57.959 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2024-11-24 10:37:58.324 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2024-11-24 10:37:58.328 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2024-11-24 10:37:58.559 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 1 core definitions underneath /home/sergio/USI/Information Retrieval/IR_project/backend/solr-9.7.0/server/solr
2024-11-24 10:37:58.559 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [babysitter_core]
2024-11-24 10:37:58.606 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.11.0
2024-11-24 10:37:58.727 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.s.IndexSchema Schema name=default-config
2024-11-24 10:37:58.895 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2024-11-24 10:37:59.140 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.s.IndexSchema Loaded schema default-config/1.7 with uniqueid field id
2024-11-24 10:37:59.141 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.c.CoreContainer Creating SolrCore 'babysitter_core' using configuration from instancedir /home/sergio/USI/Information Retrieval/IR_project/backend/solr-9.7.0/server/solr/babysitter_core, trusted=true
2024-11-24 10:37:59.209 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.c.SolrCore Opening new SolrCore at [/home/sergio/USI/Information Retrieval/IR_project/backend/solr-9.7.0/server/solr/babysitter_core], dataDir=[/home/sergio/USI/Information Retrieval/IR_project/backend/solr-9.7.0/server/solr/babysitter_core/data/]
2024-11-24 10:37:59.317 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
